index	0-9	10-19	120-129	20-29	30-39	40-49	50-59	60-69	70-79	80-89	90-99
Johnson County, Kansas, United States	False	False	False	False	False	False	True	False	False	False	False
Jung, Ulsan, South Korea	False	False	False	True	False	True	False	False	False	False	False
Kaiserslautern, Rhineland-Palatinate, Germany	False	False	False	True	True	False	False	False	False	False	False
Kane County, Illinois, United States	False	False	False	False	False	False	False	True	True	False	False
Karlsruhe District, Baden-Wurttemberg, Germany	False	True	False	False	False	False	False	False	False	False	False
Kennebec County, Maine, United States	False	False	False	False	True	False	False	False	False	False	False
Kent County, Michigan, United States	False	True	False	False	False	False	False	False	False	False	False
King County, Washington, United States	False	True	False	True	True	True	True	True	True	True	True
Kitsap County, Washington, United States	False	False	False	False	False	False	False	False	True	False	False
Kittitas County, Washington, United States	False	False	False	False	False	False	True	True	False	False	False
Knox County, Nebraska, United States	False	True	False	False	True	False	False	False	False	False	False
Konstanz District, Baden-Wurttemberg, Germany	False	False	False	False	False	False	True	False	False	False	False
Kunming City, Yunnan, China	True	False	False	True	True	True	True	True	False	False	False
Kyoto, Kyoto Prefecture, Japan	False	False	False	False	True	False	True	False	False	False	False
LaPorte County, Indiana, United States	False	False	False	False	False	False	True	False	False	False	False
Lahn-Dill District, Hesse, Germany	False	False	False	False	True	False	False	False	False	False	False
Lake County, Florida, United States	False	False	False	True	True	True	True	True	True	True	False
Lake County, Illinois, United States	False	False	False	False	False	False	True	False	False	False	False
Lake St. Clair County, Michigan, United States	False	True	False	False	False	False	False	False	False	False	False
Lanzhou City, Gansu, China	False	False	False	True	True	True	True	True	True	True	False
Laramie County, Wyoming, United States	False	False	False	False	False	False	False	True	False	False	False
Larimer County, Colorado, United States	False	False	False	False	False	False	True	False	False	False	False
Lea County, New Mexico, United States	False	False	False	False	False	False	False	False	True	False	False
Lee County, Florida, United States	False	True	False	True	True	True	True	True	True	True	True
Leon County, Florida, United States	False	True	False	False	True	True	True	True	False	False	False
Leshan City, Sichuan, China	False	False	False	False	True	False	False	False	False	False	False
Levy County, Florida, United States	False	False	False	False	False	False	False	True	False	False	False
Lewis County, Washington, United States	False	False	False	False	False	False	False	False	False	True	False
Lhasa City, Tibet, China	False	False	False	False	True	False	False	False	False	False	False
Liangshan Prefecture, Sichuan, China	False	False	False	False	False	True	False	False	False	False	False
Liaoyuan City, Jilin, China	True	False	False	True	True	True	True	True	False	False	False
Lijiang City, Yunnan, China	False	False	False	False	True	False	False	True	False	False	False
Lincoln County, Maine, United States	False	False	False	False	True	True	False	False	False	False	False
Lincoln County, Nebraska, United States	False	False	False	True	False	True	True	False	False	False	False
Linn County, Oregon, United States	False	False	False	False	False	False	False	False	True	False	False
Linxia Prefecture, Gansu, China	False	False	False	True	True	False	False	False	False	False	False
Linyi City, Shandong, China	False	False	False	False	False	False	False	True	False	False	False
Liupanshui City, Guizhou, China	False	False	False	True	True	True	False	False	False	False	False
Liuzhou City, Guangxi, China	False	False	False	False	False	True	False	False	False	False	False
Longnan City, Gansu, China	False	False	False	True	False	False	True	False	False	False	False
Lorrach, Baden-Wurttemberg, Germany	False	False	False	False	True	False	False	False	False	False	False
Loudoun County, Virginia, United States	False	False	False	False	False	True	False	False	False	False	False
Ludwigsburg District, Baden-Wurttemberg, Germany	False	False	False	False	False	True	False	True	False	False	False
Luoyang City, Henan, China	False	False	False	True	False	False	False	False	False	False	False
Luzhou City, Sichuan, China	False	False	False	False	True	False	False	False	False	False	False
Lyon County, Kentucky, United States	False	False	False	False	False	False	False	True	False	False	False
Ma'anshan City, Anhui, China	False	False	False	False	False	True	True	False	False	False	False
Maastricht, Limburg, Netherlands	False	False	False	False	False	True	False	False	False	False	False
Madison County, Idaho, United States	False	False	False	True	False	False	False	False	False	False	False
Main-Tauber District, Baden-Wurttemberg, Germany	False	False	False	False	False	True	False	False	False	False	False
Manatee County, Florida, United States	False	True	False	False	True	True	True	True	True	True	False
Mannheim, Baden-Wurttemberg, Germany	False	False	False	True	True	False	True	True	False	False	False
Maricopa County, Arizona, United States	False	False	False	True	False	True	False	False	True	False	False
Marion County, Florida, United States	False	True	False	True	True	True	True	True	True	True	False
Martin County, Florida, United States	False	False	False	True	True	True	True	True	True	True	False
Matsuyama, Ehime, Japan	False	False	False	False	True	False	False	False	False	False	False
McHenry County, Illinois, United States	False	True	False	False	False	False	False	True	False	False	False
McKinley County, New Mexico, United States	True	True	False	False	True	False	False	False	False	False	False
Mecklenburgische Seenplatte, Mecklenburg-Vorpommern, Germany	False	False	False	False	False	False	True	False	False	False	False
Merrimack County, New Hampshire, United States	False	False	False	True	False	False	False	False	False	False	False
Miami-Dade County, Florida, United States	True	True	False	True	True	True	True	True	True	True	True
Mianyang City, Sichuan, China	False	True	False	False	True	False	False	False	False	False	False
Middlesex County, Massachusetts, United States	False	False	False	False	False	True	True	True	False	False	False
Minnehaha County, South Dakota, United States	False	False	False	False	False	True	True	False	False	False	False
Missoula County, Montana, United States	False	False	False	True	True	False	True	False	False	False	False
Monroe County, Florida, United States	False	True	False	True	True	True	True	True	True	True	False
Montcalm County, Michigan, United States	False	True	False	False	False	False	False	False	False	False	False
Montgomery County, Kentucky, United States	False	False	False	False	False	False	True	False	False	False	False
Montgomery County, Maryland, United States	False	False	False	True	False	False	True	True	True	False	False
Montgomery County, Texas, United States	False	False	False	False	False	True	False	False	False	False	False
Morbihan, Bretagne, France	False	False	False	False	False	False	False	False	False	False	True
Mudanjiang City, Heilongjiang, China	False	False	False	False	False	False	False	True	False	False	False
Mueang Nonthaburi District, Nonthaburi, Thailand	True	False	False	True	False	False	True	True	False	False	False
Nam, Ulsan, South Korea	False	False	False	True	True	True	True	True	True	False	False
Nanchong City, Sichuan, China	False	False	False	True	True	False	False	False	False	False	False
Nanjing City, Jiangsu, China	False	False	False	False	False	True	False	False	False	False	False
